2,133
5,839
2,846
3,1294
2,1300
3,2522
2,2527
5,2753
5,2762
4,2766
2,3359
5,3490
5,3496
4,3814
4,3824
3,3883
3,4508
3,4556
5,4876
3,4884
3,5495
4,5509
5,6187
5,6192
3,6200
5,7036
5,7040
4,7046
4,7313
3,8646
2,8653
5,9442
5,9449
3,10267
2,10276
4,10471
3,10646
2,10650
3,11271
3,11275
2,11279
3,12067
2,12071
3,12811
5,14116
4,14122
4,16080
3,16589
2,16597
2,16685
4,16916
3,16921
4,17387
5,18979
4,18988
4,19029
4,19566
3,19574
3,20434
2,20442
3,22807
2,22812
2,22816
3,23356
3,23880
3,24500
3,24868
2,24876
5,25057
4,25069
5,25385
4,25391
4,25588
3,25594
2,25597
4,25690
5,26045
5,26054
3,26777
2,26784
5,27052
4,27059
4,27368
3,27941
2,27949
2,28038
4,28178
2,29105
5,29961
4,29966
5,30185
2,30195
4,30972
5,30975
5,30979
4,30984
2,31150
5,31918
5,31923
5,31933
2,32961
3,33629
3,33633
3,33952
2,33956
3,34869
3,34875
4,35588
3,35911
2,35919
2,37367
2,38474
3,38723
2,38730
4,39323
5,40064
5,40085
5,40300
5,40305
2,41032
4,41357
4,41367
4,41371
5,43047
4,43058
5,43522
5,43526
4,43655
4,43660
3,44040
2,44045
2,44523
2,44526
3,45043
2,45048
4,46244
3,46250
3,46486
3,46514
2,46520
5,48222
5,48600
5,48608
2,48611
3,48880
2,48886
2,49016
3,49452
2,49458
3,49936
2,49940
3,50303
3,50309
5,50627
5,50635
4,50640
3,50987
2,50994
3,51349
2,51352
4,51404
4,51412
3,51851
5,52230
4,52508
3,52512
4,52523
5,53214
5,53222
3,53227
3,53669
5,54122
4,54129
3,54512
2,54519
2,54603
3,55317
2,55321
2,55838
2,55840
2,56328
3,56480
2,56490
2,59404
2,59537
2,59540
5,59770
3,59917
2,59923
5,60936
4,60940
4,60942
3,61585
2,61589
3,62789
3,63405
2,63409
3,63616
2,63620
4,63679
3,63862
3,63986
4,64850
3,65236
2,65838
2,66986
2,66988
4,67200
3,67463
3,67467
2,67471
5,67612
5,67617
4,69376
5,69389
5,70091
4,70096
4,71253
3,71571
2,71575
4,72061
5,72074
5,72077
5,73061
5,73067
5,73071
3,73730
5,74166
2,74175
3,75088
3,75647
3,75653
2,75656
5,76021
5,76027
4,76067
3,76074
4,76490
4,76505
5,76719
5,76726
3,77484
2,77489
5,78211
4,78221
4,78369
2,78374
5,79582
3,79716
2,79719
2,79759
3,79765
2,79774
3,80291
2,80295
